Days after plantation,Date,Phase,soil moisture(%),Required Soil Moisture(%),Soil Moisture Difference,Kc, Eto(in mm),Etc(in mm),Etc(in m),Rainfall(in mm),Rainfall(in m),Soil bulk Density (g/cm3),Root Zone Depth(cm),NIR(Net Irrigation Requirement)(in cm),NIR( in m),Farm Area(in Acres),acres_to_sqm,Final Area(in sqm),Volume_SM(to match req S.M),Volume (Rainfall),Volume(Etc),Final Volume,Irrigation Req
1,15-04-2024,Initial,20,30,10,0.3,0.14,0.042,0.000042,0,0,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,0,0.436816989,172.0434912,172043.4912
2,16-04-2024,Initial,20,30,10,0.3,0.14,0.042,0.000042,0.01,0.00001,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,0.104004045,0.436816989,171.9394872,171939.4872
3,17-04-2024,Initial,20,30,10,0.3,0.15,0.045,0.000045,0.14,0.00014,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,1.45605663,0.468018203,170.6186358,170618.6358
4,18-04-2024,Initial,20,30,10,0.3,0.14,0.042,0.000042,0.06,0.00006,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,0.62402427,0.436816989,171.419467,171419.467
5,19-04-2024,Initial,20,30,10,0.3,0.12,0.036,0.000036,1.31,0.00131,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,13.6245299,0.374414562,158.3565589,158356.5589
6,20-04-2024,Initial,20,30,10,0.3,0.16,0.048,0.000048,0.3,0.0003,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,3.12012135,0.499219416,168.9857723,168985.7723
7,21-04-2024,Initial,20,30,10,0.3,0.13,0.039,0.000039,0.58,0.00058,1.65,10,1.65,0.0165,2.57,4046.85,10400.4045,171.6066743,6.03223461,0.405615776,165.9800554,165980.0554
8,22-04-2024,Initial,15,30,15,0.3,0.14,0.042,0.000042,0,0,1.65,10,2.475,0.02475,2.57,4046.85,10400.4045,257.4100114,0,0.436816989,257.8468284,257846.8284
9,23-04-2024,Initial,15,30,15,0.3,0.14,0.042,0.000042,0,0,1.65,10,2.475,0.02475,2.57,4046.85,10400.4045,257.4100114,0,0.436816989,257.8468284,257846.8284
10,24-04-2024,Initial,15,30,15,0.3,0.22,0.066,0.000066,0.08,0.00008,1.65,10,2.475,0.02475,2.57,4046.85,10400.4045,257.4100114,0.83203236,0.686426697,257.2644057,257264.4057
